Media Sources,Tweets Ago,compound,neg,pos,neu
BBCWorld,0,0.0,0.0,0.0,1.0
BBCWorld,1,0.0,0.0,0.0,1.0
BBCWorld,2,0.6486,0.0,0.469,0.531
BBCWorld,3,-0.7845,0.496,0.0,0.504
BBCWorld,4,-0.1531,0.292,0.236,0.472
BBCWorld,5,0.0,0.0,0.0,1.0
BBCWorld,6,0.0,0.0,0.0,1.0
BBCWorld,7,0.5106,0.0,0.248,0.752
BBCWorld,8,0.0,0.0,0.0,1.0
BBCWorld,9,0.3818,0.0,0.271,0.729
BBCWorld,10,-0.0516,0.27,0.254,0.476
BBCWorld,11,0.0,0.0,0.0,1.0
BBCWorld,12,-0.7579,0.481,0.0,0.519
BBCWorld,13,0.0,0.0,0.0,1.0
BBCWorld,14,0.0,0.0,0.0,1.0
BBCWorld,15,0.0,0.0,0.0,1.0
BBCWorld,16,0.0,0.0,0.0,1.0
BBCWorld,17,-0.0772,0.206,0.0,0.794
BBCWorld,18,0.0,0.0,0.0,1.0
BBCWorld,19,-0.0516,0.13,0.0,0.87
BBCWorld,20,0.0,0.0,0.0,1.0
BBCWorld,21,0.0,0.0,0.0,1.0
BBCWorld,22,0.6486,0.0,0.469,0.531
BBCWorld,23,-0.7845,0.496,0.0,0.504
BBCWorld,24,-0.1531,0.292,0.236,0.472
BBCWorld,25,0.0,0.0,0.0,1.0
BBCWorld,26,0.0,0.0,0.0,1.0
BBCWorld,27,0.5106,0.0,0.248,0.752
BBCWorld,28,0.0,0.0,0.0,1.0
BBCWorld,29,0.3818,0.0,0.271,0.729
BBCWorld,30,-0.0516,0.27,0.254,0.476
BBCWorld,31,0.0,0.0,0.0,1.0
BBCWorld,32,-0.7579,0.481,0.0,0.519
BBCWorld,33,0.0,0.0,0.0,1.0
BBCWorld,34,0.0,0.0,0.0,1.0
BBCWorld,35,0.0,0.0,0.0,1.0
BBCWorld,36,0.0,0.0,0.0,1.0
BBCWorld,37,-0.0772,0.206,0.0,0.794
BBCWorld,38,0.0,0.0,0.0,1.0
BBCWorld,39,-0.0516,0.13,0.0,0.87
BBCWorld,40,0.0,0.0,0.0,1.0
BBCWorld,41,0.0258,0.0,0.052,0.948
